country,sentiment,conflict_count,article_id,negative_sentiment,GRSI
Stock,0.15735311113901743,115,3999,0.0,834.3000000000001
Health,0.07903234761245005,674,2594,0.0,721.0
Technology,0.12461245471800843,259,2371,0.0,551.9000000000001
Finance,0.10087569388052617,209,2402,0.0,543.1
News,0.07958018512721922,456,1852,0.0,507.20000000000005
Real estate,0.1628255529622831,83,2352,0.0,495.3
Canada,0.1772697206705997,98,2324,0.0,494.2
Education,0.10068127968178887,253,1771,0.0,430.1
COVID,0.07242277270720238,218,1821,0.0,429.6
Food,0.09113813027917182,318,1613,0.0,418.0
Jobs,0.07405210048167794,227,1562,0.0,380.5
Weather,0.08615994108625649,265,1496,0.0,378.7
Travel,0.10738654189529817,203,1451,0.0,351.09999999999997
Cars,0.10595022574430754,201,1289,0.0,318.1
Science,0.09931991342944951,158,1261,0.0,299.6
Politics,0.0936188050697906,227,1156,0.0,299.3
Asia,0.12792329516807605,154,1242,0.0,294.6
Music,0.1191925486340934,196,1159,0.0,290.6
Climate,0.08450967081705385,201,1140,0.0,288.3
India,0.09386358136629876,102,1196,0.0,269.8
Home,0.07932624426784467,225,1006,0.0,268.70000000000005
America,0.1281220166816611,128,1135,0.0,265.4
Artificial Intelligence,0.01210220087467206,141,1103,0.0,262.90000000000003
Fashion,0.15467316588737196,112,1121,0.0,257.8
Facebook,0.058566498279716245,196,970,0.0,252.8
Sports,0.12760679928178636,105,1106,0.0,252.70000000000002
Relationships,0.12822289012014734,120,1043,0.0,244.60000000000002
History,0.08823115461604443,203,901,0.0,241.10000000000002
Love,0.1751868873509408,96,1057,0.0,240.2
Australia,0.12762006222943723,116,992,0.0,233.2
Space,0.11359055037696134,123,974,0.0,231.70000000000002
YouTube,0.09027752590416166,158,917,0.0,230.8
Ukraine,0.0495709338498562,343,631,0.0,229.1
Africa,0.13354458879327083,93,995,0.0,226.9
Google,0.11494048898938182,90,979,0.0,222.8
Games,0.10116448162995656,110,946,0.0,222.20000000000002
Movies,0.1408188754482456,127,901,0.0,218.3
United Kingdom,0.14456763766979894,96,932,0.0,215.2
Architecture,0.12032531502659968,138,809,0.0,203.20000000000002
Mexico,0.12461682767309287,112,822,0.0,198.0
Sustainability,0.09366473897070778,111,797,0.0,192.7
United States,0.09379053503907174,138,720,0.0,185.4
Nigeria,0.044631038777666346,159,682,0.0,184.1
Beauty,0.1476419430029292,55,834,0.0,183.3
Israel,0.011909361075575825,293,461,0.0,180.1
Amazon,0.12715280177392446,45,829,0.0,179.3
world,0.09355710642660198,121,691,0.0,174.5
Bitcoin,0.08493397270788432,76,758,0.0,174.4
"Palestine, State of",0.03145083492497285,314,377,0.0,169.60000000000002
Europe,0.09214479814434369,117,668,0.0,168.7
Cryptocurrency,0.053285751505989604,83,672,0.0,159.3
Egypt,0.04442846704902542,255,394,0.0,155.3
Productivity,0.1336416264206693,101,625,0.0,155.3
Germany,0.08514732267925326,131,551,0.0,149.5
Design,0.15028338665488197,63,642,0.0,147.3
Iraq,0.0014664291364971617,283,273,0.0,139.5
Art,0.13243161226142677,78,543,0.0,132.0
China,0.07553637147276918,112,486,0.0,130.8
Fitness,0.1629591590543604,51,567,0.0,128.70000000000002
Myanmar,0.031426309682338616,211,311,0.0,125.5
"Iran, Islamic Republic of",0.022768532633242997,197,328,0.0,124.7
Lebanon,0.012233489135663047,272,207,0.0,123.0
Brazil,0.10775911192991346,59,524,0.0,122.50000000000001
Hong Kong,0.1475624776925522,37,556,0.0,122.3
Russian Federation,0.02692109151858326,159,346,0.0,116.9
Netherlands,0.10777520640834604,64,464,0.0,112.00000000000001
Turkey,0.09354280429178251,120,367,0.0,109.4
United Arab Emirates,0.038930983155489735,161,304,0.0,109.1
New Zealand,0.12181062912976498,39,479,0.0,107.50000000000001
Blockchain,0.09020346715905928,50,456,0.0,106.2
Saudi Arabia,0.049102592838733555,130,335,0.0,106.0
Instagram,0.07813237665434591,60,431,0.0,104.2
"Congo, The Democratic Republic of the",0.042341630417102115,131,318,0.0,102.9
Poland,0.04548661961197473,106,352,0.0,102.2
Nutrition,0.1433756174928218,30,465,0.0,102.0
Jersey,0.09507953702263844,54,424,0.0,101.00000000000001
TikTok,0.09719620297278009,51,428,0.0,100.9
South Africa,0.1296507029657148,33,423,0.0,94.50000000000001
Yemen,0.05419665855799735,191,183,0.0,93.9
Armenia,0.06980511496880544,126,273,0.0,92.4
Maldives,0.1341114748506439,73,352,0.0,92.30000000000001
Coding,0.24696065033314407,40,399,0.0,91.80000000000001
Georgia,0.06835088294877836,42,392,0.0,91.0
Sudan,0.04963109686057447,163,201,0.0,89.1
Singapore,0.10352245918194194,44,377,0.0,88.60000000000001
